review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R8MEA6IGAHO0B,5,0,0,N,Y
R31LOQ8JGLPRLK,5,0,1,N,Y
R2Y0MM9YE6OP3P,5,0,0,N,Y
RRB9C05HDOD4O,4,0,0,N,Y
R26I2RI1GFV8QG,2,0,0,N,Y
RY8DDL22YG4R5,3,0,1,N,Y
R2AT2426ZHFUHH,3,0,1,N,Y
R3RRXU2R23NMQ9,5,0,0,N,Y
R250PR8VJUZ62F,4,0,2,N,Y
RBEMQ29WJBHYG,5,164,168,N,Y
R19VVIUT4BZCMT,5,2,2,N,Y
R1DT8JJUQHUKUL,3,0,1,N,Y
RLIL6S9OGM3YA,5,0,0,N,Y
R34EZZ68VYPHO0,1,1,1,N,Y
R3TZNSOXS13SIG,2,1,3,N,Y
R12UBZT87UX3AP,5,2,2,N,Y
R5KCRE927NYMU,2,0,0,N,N
RT12RQFU0V2AX,5,1,1,N,Y
R2K0YQPV5W2SJ1,4,2,2,N,Y
R104MY31OKNGXH,5,0,0,N,Y
R3EQYRGIIJQBHT,5,0,1,N,N
R32MW6D6CXKCFW,2,0,0,N,Y
RFO6FJSAA391Z,5,0,0,N,Y
R1IG9KI4EWNE4W,5,0,0,N,N
R3IF1H9L7WSGQD,5,1,1,N,N
R38T4K7X8UBVO7,5,0,0,N,Y
R19C76D4LWB6CM,4,0,0,N,Y
R260G1C72KG6KC,1,0,0,N,N
R2SLX39DAJSG0V,5,0,0,N,Y
R5I2YBT9J85FF,5,2,2,N,Y
R28UEIZZYTOC6N,5,0,0,N,Y
R2EJI73CFP0N1Q,5,0,0,N,Y
R31SFE3UEUA0EY,5,0,0,N,Y
R2N4NDRA7Q1SE5,5,0,0,N,Y
R8X0E4KMQKGRK,4,0,0,N,Y
R36A0KHN48CHBP,5,0,0,N,Y
R3PG8VI81UURO5,5,0,1,N,N
RABE0NGQ36XZX,1,0,0,N,N
R3VCLPEEQYTKLJ,5,0,0,N,N
R2OC0E4X4RISOB,3,0,3,N,Y
R2F2BCP1CC8VKZ,5,0,0,N,Y
R174DGBVW0UWAJ,5,0,0,N,Y
R2074W1A28UUU6,5,9,11,N,N
R3P0BV6H71DE5,5,0,0,N,Y
RQ415EM6JPUG1,4,0,0,N,Y
R1M8PKOFRU2DZ,3,0,0,N,Y
R2RWA9DSTPVRCI,5,2,2,N,Y
R3B3E2E0123J3F,5,0,0,N,Y
R2WGDZBMIMZ1HK,5,0,0,N,Y
R2W7SNCOCHAVOK,5,0,1,N,Y
R3TKTB8TPDMW12,5,0,0,N,Y
R3VUB98IS1VKQC,5,0,0,N,Y
R18TG2USOSVOC3,1,1,1,N,Y
R2EVA14XVX2MH3,3,0,0,N,N
R2DWIADFBQ3IYG,2,0,0,N,Y
R2J68T8Y2ZWUSP,5,0,0,N,Y
R2VMBHZ9XTC0GQ,2,0,0,N,Y
R23WVQTPI7LGPD,2,0,0,N,Y
R27GI77VF2P6WF,3,2,3,N,Y
R2JTHBK0R10ZW4,1,0,5,N,Y
RRPOCULNRBGQ,5,0,0,N,Y
R1L23IFB85ESH6,2,0,0,N,Y
R802NI63NKL9V,5,2,2,N,Y
RAZX9ZCFPGCKO,5,0,1,N,Y
R4OJIBI7DBHQY,5,1,1,N,Y
R4JILH6CA3ZWE,1,0,0,N,Y
R35NN211X0RGH9,3,0,0,N,Y
RBKUGHHNXVYG0,5,0,0,N,Y
RHK9SLC4KVI7E,5,0,0,N,Y
R1T578QAZDASOQ,3,0,0,N,Y
R2O0LZSPMME6US,5,0,0,N,Y
R1HZRM3VPO0TFQ,1,0,0,N,Y
R174E63UVEWXYD,3,0,0,N,Y
R1URGQG52JBIKA,5,0,0,N,Y
R3GGP4OW20EAGY,5,0,0,N,Y
R1OLWVLQX55BH0,5,0,0,N,Y
R18MK5UOS41XJN,3,0,0,N,Y
R2K2WK38XR5FKZ,1,0,0,N,Y
R1LER8UFIWBNPU,4,0,0,N,Y
R3FBUNWANUJRTU,5,2,2,N,Y
R1BXBS5B1UDJGO,4,0,0,N,Y
RGAH8RF1K8QUI,5,0,0,N,Y
R3MKQZAD0IAFFP,5,0,0,N,Y
R2JK5Y8D5MXAGP,1,5,121,N,Y
R2SAHVFOHVRMS8,1,0,0,N,N
RIXC8QXB2OESY,5,0,0,N,Y
R2EYF5O4W313NW,4,0,0,N,Y
R3KOQ03SYO1FM2,1,0,0,N,Y
RP9SQJGGAJR7E,4,0,0,N,Y
R2TMCO418IRILU,4,0,1,N,Y
R2SXHHN0P24XX2,4,2,2,N,Y
R1K87KXBZ5FJBE,1,0,0,N,Y
R2H1V2O1SVWULZ,4,2,2,N,Y
R3KWJ45TNIR8O5,5,1,1,N,Y
RHD4B4FI8ZOX0,5,0,0,N,Y
R1D3AHJ7NNDRJB,5,0,0,N,Y
R21D3M96JTK6SK,5,0,0,N,Y
R1F8M0B5J1XM4Y,5,0,0,N,Y
R12LYV1UT0I45R,4,1,1,N,Y
RVQAD1KFHCUM,1,0,0,N,Y
RVL6X6XTAV2OC,5,0,0,N,Y
R316YOL72KM8MN,5,0,0,N,Y
RNAFMG7E8AV98,5,1,2,N,Y
R28KK80NQ1OWX7,4,0,0,N,Y
R8P7Q3NE3Y83S,3,0,0,N,Y
R22AAC9RY7XMWF,5,0,0,N,Y
R2EHRZV0160XIG,5,0,0,N,Y
R5F0MONILUKRP,5,0,0,N,Y
R2GKI73OC3N63O,1,0,0,N,Y
R3DK2D6EHJDM02,5,0,0,N,Y
RBSGTH9P3YLXJ,1,0,1,N,Y
R3OLUK314SVUJX,5,0,0,N,Y
R18ZX5SMSC1R1Z,3,5,5,N,Y
R1ZB72DG09LAHS,2,0,0,N,Y
R17Q4M70WS5DLS,5,0,0,N,Y
R2P3L6TOU3J55O,4,0,0,N,Y
RMHGOMLW9JORB,3,7,9,N,Y
RIPOKQX5CN9FX,1,0,0,N,N
R2H2BYBNRE03O8,2,0,0,N,Y
R2YVX2732SGXKJ,5,0,0,N,Y
R2FWM0FFV79Z6V,5,0,0,N,Y
RI4W4MRE8NCHN,5,0,0,N,Y
RH9OFI5KUZDJ8,5,4,4,N,N
R1NYCM7RDHSQ4S,4,0,0,N,Y
R1L9T6O2ISEKHI,3,0,0,N,Y
R3VH9560WYL5ND,2,0,0,N,Y
R2WBTGGZVP2RAL,5,0,0,N,Y
R8IL7462X27YZ,5,0,1,N,Y
RXK4UG5UU3AUR,5,0,0,N,Y
R1TBNGCCXGO3MC,5,0,0,N,Y
RDJWALY450ZFW,5,0,0,N,Y
R1DA7Q9CEDRI23,4,0,0,N,Y
R3TS1CJXSSIDVE,5,0,0,N,Y
R2GAR6BGXOTFY1,5,0,0,N,Y
R3KHSTPN35XIKP,5,0,0,N,Y
R2GLAN4K93R537,1,0,0,N,Y
R20KHDRKIU22ZH,5,0,0,N,Y
R2YH2439HLA5J4,4,0,0,N,Y
R3O7LAC6MJB7B,5,1,2,N,Y
R1BUYT6R7LOKFU,2,1,3,N,Y
RQJISYEXZ6OHY,5,0,0,N,Y
R185IGK3SX8JC1,4,0,0,N,Y
R19YGU50OR1ZPK,5,0,0,N,Y
R3FFSP87JNU8SI,5,0,0,N,Y
R3K7Y5MDMTALQN,1,0,0,N,Y
R3G8YNAB1Q3S2M,1,0,0,N,Y
R1NDVPJ30W6O2,5,0,0,N,Y
R2C57357K55UVG,5,3,3,N,Y
RGRM3U2X625NN,5,0,0,N,Y
R2O3VQ0K7B9HBZ,5,0,0,N,Y
RPSE49WSO10DR,3,0,1,N,Y
R36X50FMQHEQHH,5,0,0,N,Y
R3E0BN05HR6LEE,5,2,2,N,Y
R3K438SBWF85OY,5,1,1,N,Y
R2V9CHVGB6YBJC,5,0,0,N,Y
R33N33IB4VR1P,5,0,0,N,Y
R2VRREJRR5SEYS,5,0,0,N,Y
R3D1J2M9A4PMKG,5,0,0,N,Y
R31LL9WV55G5MI,5,0,0,N,Y
R34S9L18X7V2SU,5,0,0,N,Y
R1ED9U68DFV8V4,1,0,0,N,N
R17YPOIKM62BF3,5,0,0,N,Y
R1CUNSRHBYLK9Z,5,0,0,N,Y
R2AH5GMM6QON95,3,0,0,N,Y
R9MJDU3R093NB,5,0,0,N,Y
RIU78P3E611Y6,5,0,0,N,Y
R2B8R3L0CZG4DD,1,0,0,N,Y
R2T76C9JGJ3NJU,5,0,0,N,Y
R3G5H8HACXVU6E,5,0,0,N,Y
RHBRVAQNLK0V6,5,0,0,N,Y
R1EMG9NDRF1CQA,5,0,0,N,Y
RBWOK2EWWQ5VA,5,0,0,N,Y
R1771FYIU642W9,5,0,0,N,Y
R12S0ARHBOUHM4,4,0,0,N,Y
RJWZF0T3DQHIP,5,2,2,N,N
R3T4FXBLX36ZVL,5,0,0,N,Y
R2MYZ820MAQHH2,5,0,0,N,Y
R3NZFPC1A52EBQ,1,0,4,N,Y
R271U9TA3KB9H2,5,0,0,N,Y
R321L5O20GCTH4,5,0,0,N,Y
R2KIYLTNUT9ZDZ,5,0,0,N,Y
R2XVNIWD1KD9W8,5,0,0,N,Y
R13DKJ0NSV7EHF,1,0,0,N,N
R2JTDXDN3EH3LW,5,0,0,N,Y
R3O4VTV6JF3E2G,4,0,0,N,Y
R2I7U743HBLIOM,4,0,0,N,Y
RWEDYJ952QEPV,5,0,0,N,Y
R1C73L0BM1ACD6,5,0,0,N,Y
R309CG6X5YVGRC,5,0,0,N,Y
R2XGJAWYFAACG0,3,0,0,N,Y
R34M1NEAF69R87,3,0,0,N,N
R2Z0UKSCPQ7J5U,5,0,0,N,Y
R1LTE87RQCCIIF,5,0,0,N,Y
R3UFXVBAEAN5ZR,5,0,0,N,Y
R24APALMI64OU3,3,0,0,N,Y
R13W3EMIUV120L,4,288,294,N,Y
RBX6BG5QKEHD2,5,0,0,N,Y
R33IRFFLJRBTL3,5,0,0,N,Y
R1SFQ6Z68K1P9Y,5,2,2,N,N
R1W8JTTB0H7P7N,5,0,0,N,Y
R1TGJ226RFSXX0,1,1,1,N,Y
R2FUDYX5D13R05,1,0,0,N,Y
R3KU91065W0MEB,3,0,0,N,Y
R1XKFXG2ZI8N9T,1,0,0,N,Y
R1VN2IVVHA7ICW,5,6,6,N,Y
RKOS4ID8E1NTB,5,0,0,N,Y
R36ONS0XW4HMY7,4,0,0,N,Y
R18XUEGLSQVMM3,5,0,0,N,Y
R1X5Z3HJS57LIN,1,0,0,N,Y
R1W0ZTD49F5IFI,5,0,0,N,Y
RA8HD2AX0U5T5,5,0,0,N,Y
R251Z55J1AF4JW,4,0,0,N,Y
R1OG4OER2U1R3P,5,0,0,N,Y
R3SHULA7UMVPE1,5,0,0,N,Y
R3NX3GUZXGOE3R,5,0,0,N,Y
R3MUE77IY69LCI,1,0,4,N,Y
R36E4H31GBXB37,1,5,7,N,N
R30TJ8POYNVCRE,5,15,21,N,N
R3QHA5X5VBDVAP,1,0,0,N,Y
RJQNG7DPY6EEI,1,0,0,N,Y
R1YRP4MPCUD8WB,1,0,0,N,N
R39LB21NJRO8VT,5,0,0,N,Y
R22CLKR9Y3035O,5,0,0,N,Y
R1KTAIJ9NN4VC9,5,0,0,N,Y
R32LCL8SAK1I1,1,0,0,N,Y
R3SW1K55Z20RYL,5,0,0,N,Y
R2NWNV371VKOM3,5,0,0,N,Y
R2G9U63HXYJAJ8,5,0,0,N,Y
R1CM91W9HYDP5V,4,0,0,N,Y
R2SWL4208CK2SI,5,0,0,N,Y
R2I61D84SVYIW7,5,1,2,N,Y
R1MA4THSYOMMH1,1,0,0,N,Y
RP0AQMVPR45U2,5,0,0,N,Y
R85I6JQCCXIR9,5,0,0,N,Y
R1M5NBPRU9URZ1,5,0,0,N,Y
R286FBMJM6KBVL,3,0,0,N,Y
RNHNGAHNCNU5W,1,0,0,N,Y
R1R92GU8HX3MS3,5,0,0,N,Y
R3R2YD209CFQQB,5,1,1,N,Y
R1Z4RVBMN5RLYX,2,1,1,N,Y
R3HFC2B5Y1CF01,5,0,0,N,Y
RM7SO388DB9PB,5,0,0,N,Y
R39TA8O8BRLQVQ,5,0,1,N,Y
RB0LQREZLOV2Y,5,0,0,N,N
R1COTJL0F63XXN,5,0,0,N,Y
R1N5H6E5242VW,4,6,7,N,N
R2T628MWOORD5L,5,0,0,N,Y
R3PQB4F1K68LXC,3,0,0,N,Y
R2L7YRXTTLNWGG,5,0,0,N,N
R3MFXCEHNLHH8R,5,0,0,N,Y
R1DI8LMTLNLGKN,1,0,0,N,Y
R3BAL1ZKWON7Z3,5,0,0,N,Y
RURYW6CQLBFQ2,1,0,0,N,Y
R1B1FLPOXQQG4U,5,0,0,N,Y
R1INKYY35I6TQ6,3,0,0,N,Y
RQ6JB8KGZEAQC,5,0,0,N,Y
R1ORLB6LK8H1P7,5,0,0,N,N
R34IQ1X274M44J,1,0,1,N,Y
R3S1GI85510357,3,0,0,N,Y
R1QPO4X602H7LH,5,0,0,N,Y
R2MP3DVMEZVDXA,5,0,0,N,Y
R2355JEJWF7UAE,1,1,1,N,Y
RJ83T6A0CA7L8,1,0,11,N,Y
R1A4NY7GH4T98Y,4,0,0,N,Y
R3GJ0A3IG8GY8I,5,0,0,N,Y
R29UKB7FW8OX7T,5,0,0,N,Y
R2RSUBJ8UEZYUS,5,0,0,N,Y
R18DW3UJOTS2SI,2,0,0,N,Y
R381Z1ZVSKMY2M,5,0,0,N,Y
R3KJZIR3QSSKRZ,1,0,0,N,Y
R3M8B8LWNHVZ4P,1,0,0,N,Y
RONJDHX1W5H7B,5,1,1,N,Y
R3N6GR9YN7JN6O,1,0,0,N,Y
R1CVQU6MLJUEME,1,2,2,N,Y
R2HLT9RAXJYINC,4,2,2,N,N
R2V3BZMI3YQXX8,5,0,0,N,Y
R3U7KR855K7VBU,4,0,0,N,Y
R2TN6KYBVSC8YJ,5,0,0,N,Y
R6AHCN4OTSO6F,3,0,0,N,Y
R30HC14YUSY2VZ,1,0,0,N,Y
RITAPPDZWSPE,1,2,14,N,Y
R22C1N6ZTRCH9X,5,0,0,N,Y
R1GUZZMIQB1T2T,5,0,1,N,Y
R3TRC21N71B5ML,2,0,0,N,Y
R1BACKR7MQPR53,4,1,2,N,N
R3NPNIVOUUZ6V6,5,0,0,N,Y
R2QNE9BSSN0K7E,4,0,0,N,N
R11W35AF43HFPN,5,0,0,N,Y
R15GZGYOA7O8SV,5,0,0,N,Y
R16JSEA3U9TUH6,5,0,0,N,Y
R1BZPOWCS51YWW,3,0,0,N,Y
RBWE6NOBQPUVS,4,0,0,N,Y
R1O2CR95Y9JHDD,5,0,0,N,Y
RV5IGY2TW95AU,1,0,0,N,Y
R3222TQXKRY5SC,5,0,0,N,Y
R2Q77D7Q5EB0XR,5,1,3,N,Y
R1H5Y9Z2DHRNVO,1,4,95,N,Y
R3SOHUWC5F95Q7,1,4,15,N,Y
R1ZIA9JPKUDRBA,2,4,6,N,Y
RS6BGYKLQ7ROF,2,0,0,N,N
R1EZPH36V7ZM5P,5,0,0,N,Y
R23LR9XPX8DA6G,5,0,0,N,N
R2EAQKBUG24R9E,1,0,0,N,Y
RPXDCQ1AW8I6U,5,0,0,N,Y
R3AXWUF0IRZGWA,5,2,2,N,Y
R2MEKKYG0FQ9Y4,1,0,0,N,Y
RXWHLKFN27QXA,5,0,0,N,Y
R1MQJWZVLX625B,5,0,2,N,Y
RM4ZH3280XY7O,4,0,0,N,N
R3PGIUX1EKQ4SZ,2,0,3,N,Y
R1PWLHUYDMJFYV,1,1,1,N,Y
R1OCN1MBFK15GL,1,0,1,N,Y
R30S1VPVHKH2MA,4,0,1,N,Y
R15KDYNJ3WR8RP,5,0,0,N,Y
R2IBYANGYFQ1V5,5,0,0,N,Y
RVOHUPZIPJAFP,3,1,1,N,Y
R33U59YX6A4OF7,5,0,0,N,Y
R39564H8KZKVJ0,4,0,0,N,Y
R38CWTC2QKHNS4,5,0,0,N,Y
RWDIQCDXM66ZA,1,0,0,N,Y
R16IHK139ZARUA,3,0,0,N,Y
RHOR6RVMS370J,5,0,0,N,Y
R3MGZ75QFPTB0S,5,0,0,N,Y
R30DV9DJ4YDSEH,1,0,0,N,Y
R1VMJENF098LBW,5,0,0,N,Y
R7L22LEG2BUVA,5,1,1,N,Y
R3QS7HA9QRDIZ9,1,0,1,N,N
RRLR0UYQ5HEBQ,5,0,0,N,Y
R1JP6MNSIT0U2D,1,5,6,N,Y
R1UUWXSTSYBDRA,5,0,0,N,Y
R3TOTF7UMXG7PK,5,0,0,N,Y
R3MAHRZX4TVR7C,4,1,1,N,Y
R1AEL8XMKRT511,5,0,0,N,Y
R7WBC0JAA9UI,1,0,0,N,Y
R3BTDRVS0QUH91,5,0,0,N,Y
R2KXEAPUMU14IE,5,0,0,N,Y
R34Z5GSD6QVJC0,5,0,0,N,Y
R396KCIONQ5GMH,5,0,0,N,N
R1RZE8IT05J6D8,5,0,0,N,Y
R3VJXA3GLDX8E9,5,0,0,N,Y
R2IJUP8JD5W160,2,0,0,N,Y
RYV0E9CUARKQO,5,0,0,N,Y
R30XZYR7CNQLJQ,4,0,0,N,Y
RX2TJPSKVFAR2,3,0,0,N,Y
RVQ6QWBRBKCNU,5,0,0,N,Y
R9BSZTOXA2VP6,5,0,0,N,Y
RL98J8W0EYXF8,5,0,0,N,Y
R3KD1E9HEX42AL,5,0,0,N,Y
R1GA8ZRKXIEABY,5,0,0,N,Y
RUF3XGO1TYY5M,5,0,0,N,Y
R7NFBSNDY7NI9,3,0,0,N,Y
RH6DCVWOCMMRZ,5,0,0,N,Y
R3G3I8VVGG5UQR,4,0,1,N,Y
R2OCDOIHJVF0EJ,5,0,0,N,Y
R49B90CZF8G9K,5,0,0,N,Y
R1PD6K9907WGKH,5,0,0,N,Y
R1IJODCM3KMBPZ,1,0,1,N,Y
R3Q0LBAFCM37G4,5,0,0,N,Y
R18FK3K0X0ENPK,5,0,0,N,N
R199SSULGKZ4TV,5,0,0,N,Y
R18R2FSKAOINPA,5,1,1,N,Y
RDGGLG7XECC8I,5,0,0,N,Y
R33GDIZZHPXZD8,4,0,0,N,N
RSY3NO8QVDBHS,5,0,0,N,Y
R2IAMN88J8S4E6,1,0,0,N,Y
R1RI39B1D8JA2B,1,0,1,N,Y
R1O5WFNMVRPTMZ,5,0,0,N,N
R2MFB4KCXYQZ8B,5,0,0,N,Y
R3U6T8HOCTTYUX,1,1,2,N,Y
R3PF28VLGJPXV8,1,0,0,N,Y
RWQJH7GNF5XSF,5,0,0,N,Y
R1USLK4CHMECRD,5,0,0,N,Y
R3L1RQZC3MVSNT,5,0,0,N,Y
ROKFHQY8QTHUG,1,1,1,N,Y
R141C1YSNM3V1E,5,0,0,N,Y
R12WY8KSEY5M6U,5,0,0,N,Y
R1X0VC3566JGN6,3,1,2,N,Y
R2PESGM2VMZR5A,5,0,0,N,Y
R23992IR32X2TH,5,0,1,N,Y
R3EFSBRW9OOP3,1,0,0,N,N
R1I1SAO01OYTA3,4,0,0,N,Y
R13APKJ45ZR560,1,1,2,N,Y
RARAC9VYGH4JF,2,0,3,N,Y
R2QE1DUCQ6ZMP1,5,0,0,N,Y
R8093YI7FNCCL,2,0,1,N,Y
R5GD1XUUIKI8U,5,0,0,N,Y
R32ZA00TYXQ3FK,4,0,0,N,Y
R2QYE2K3MZ70QR,4,0,0,N,Y
R327ERFWDV0QKV,1,1,15,N,Y
R3FW20KZQ1ZBT7,5,0,0,N,N
R2QB62ZUJPQ13A,5,6,6,N,Y
R1OOWBOVU8QDZJ,5,0,0,N,Y
RA7Y2GZ9UL6U7,5,3,8,N,Y
R1VZZKZ6Q9X5RW,5,0,0,N,Y
R3ROTWGAX1TJES,5,0,0,N,Y
R2NPZACR9434BC,5,0,0,N,Y
R2MM1WZ7PZ0DVF,5,0,0,N,Y
R106KBKGNXHNN9,4,0,0,N,Y
R9TWTAIG1G8TG,1,0,1,N,Y
R3U668T3TDBR0,5,0,0,N,Y
R15HQ2NJS614NB,3,0,0,N,N
RFUK2PGCQ76G,4,0,0,N,Y
R2DWUN855LF6U6,4,0,0,N,Y
R23BZYKURHZT57,5,0,0,N,N
R2DC6J1ZW4OHM7,5,2,3,N,Y
R3KMVTYXYDOU1O,5,0,0,N,Y
RDASSJPEKCAT1,4,0,0,N,Y
RL3BC3C5K1YAH,4,2,2,N,N
RJ9OFF1J15SP4,5,0,0,N,Y
RBKZU14AS6JSN,5,0,0,N,Y
R1GPGS78EM9C8V,4,0,0,N,Y
R1JDJEZMPIYIVT,5,0,1,N,Y
R29QNW9F9KNCGT,3,0,0,N,Y
R3T04LU0Y3ISRP,5,0,0,N,Y
R18MHHFKCQSFQP,4,0,0,N,Y
R3ISGPEW3GWCVT,5,1,3,N,Y
R8GTHZWR95D9E,5,1,2,N,Y
R2X798R2P84JIA,4,1,2,N,Y
